"","X","Unit","Date","ID","Year","Month","Individual","INJ","TA","takeover.date","time.since.takeover","Sex","DOB","Age","AgeCat","T.State.Date","T.State","I.State.Date","I.State","to_yn","next.takeover","time.to.takeover"
"2"," 949","B","2013-04-01","BAR","2013"," 1","Barbara",1,"FALSE","8/1/09","191.285714","FALSE","1998-12-01","14.322845","A","9/29/08","Cycling","9/5/11","Lactating","N","2013-04-01",0
"3",NA,"B","2008-11-01","BEA","2008","11","Beatrice",1,"FALSE","5/1/06","130.714286","FALSE","1998-09-09","10.139535","A","","","5/17/08","Cycling","N","2009-08-01",39
"4"," 702","B","2013-10-01","BEA","2013","10","Beatrice",1,"FALSE","4/1/13"," 26.142857","FALSE","1998-09-09","15.050616","A","10/26/12","Lactating","8/21/13","Cycling","N",NA,NA
"5"," 713","B","2013-11-01","BEA","2013","11","Beatrice",1,"FALSE","4/1/13"," 30.571429","FALSE","1998-09-09","15.135431","A","10/26/12","Lactating","8/21/13","Cycling","N",NA,NA
"6"," 692","B","2013-10-01","BEE","2013","10","Bee",1,"FALSE","4/1/13"," 26.142857","FALSE","2002-11-11","10.880985","A","6/28/12","Cycling","6/28/12","Cycling","N","2016-01-01",117.428571428571
"9"," 345","B","2009-03-01","BIR","2009"," 3","Birtha",1,"FALSE","5/1/06","147.857143","FALSE","1991-06-12","17.707250","A","2/1/06","Lactating","12/31/08","Lactating","N","2009-08-01",21.8571428571429
"11"," 683","B","2013-09-01","BRI","2013"," 9","Brindle",1,"FALSE","4/1/13"," 21.857143","FALSE","2005-12-01"," 7.745554","A","6/18/12","Cycling","6/18/12","Cycling","N","2016-01-01",121.714285714286
"12"," 869","B","2015-03-01","BRO","2015"," 3","Bronte",1,"FALSE","4/1/13"," 99.857143","FALSE","2006-11-12"," 8.292750","A","3/13/13","Cycling","7/19/14","Lactating","N","2016-01-01",43.7142857142857
"14"," 634","B","2013-06-01","BUN","2013"," 6","Buna",1,"FALSE","4/1/13","  8.714286","FALSE","1998-12-01","14.489740","A","8/16/10","Lactating","8/16/10","Lactating","Y","2016-01-01",134.857142857143
"15","1628","C","2013-05-01","CAP","2013"," 5","Capricorn",1,"FALSE","6/1/12"," 47.714286","FALSE","2005-12-01"," 7.409029","A","6/20/11","Cycling","1/29/13","Lactating","N","2014-10-01",74
"16","1630","C","2013-06-01","CAP","2013"," 6","Capricorn",1,"FALSE","6/1/12"," 52.142857","FALSE","2005-12-01"," 7.493844","A","6/20/11","Cycling","1/29/13","Lactating","N","2014-10-01",69.5714285714286
"17","1527","C","2012-07-01","CAR","2012"," 7","Carmen",1,"FALSE","6/1/12","  4.285714","FALSE","1997-03-01","15.324213","A","3/29/11","Cycling","3/29/11","Cycling","Y",NA,NA
"18","1590","C","2013-01-01","CAR","2013"," 1","Carmen",1,"FALSE","6/1/12"," 30.571429","FALSE","1997-03-01","15.827633","A","3/29/11","Cycling","3/29/11","Cycling","N",NA,NA
"19","1884","C","2016-04-01","CAR","2016"," 4","Carmen",1,"FALSE","6/1/12","200.000000","FALSE","1997-03-01","19.072503","A","3/29/11","Cycling","2/23/16","Cycling","N",NA,NA
"20","1516","C","2012-06-01","CAS","2012"," 6","Cassie",1,"FALSE","6/1/12","  0.000000","FALSE","2002-09-04"," 9.734610","A","9/21/11","Lactating","9/21/11","Lactating","Y","2012-06-01",0
"21","1551","C","2012-09-01","CAS","2012"," 9","Cassie",1,"FALSE","6/1/12"," 13.142857","FALSE","2002-09-04"," 9.986320","A","9/21/11","Lactating","7/31/12","Pregnant","N","2013-09-01",52.1428571428571
"22","1658","C","2013-09-01","CAS","2013"," 9","Cassie",1,"FALSE","9/1/13","  0.000000","FALSE","2002-09-04","10.984952","A","1/29/13","Lactating","1/29/13","Lactating","Y",NA,NA
"23","1722","C","2014-05-01","CAS","2014"," 5","Cassie",1,"FALSE","9/1/13"," 34.571429","FALSE","2002-09-04","11.647059","A","1/29/13","Lactating","2/10/14","Cycling","N",NA,NA
"24","1560","C","2012-10-01","CEE","2012","10","Cee",1,"FALSE","6/1/12"," 17.428571","FALSE","2003-02-15"," 9.619699","A","4/4/11","Cycling","8/9/12","Pregnant","N",NA,NA
"25","1637","C","2013-06-01","CEY","2013"," 6","Ceylon",1,"FALSE","6/1/12"," 52.142857","FALSE","2005-06-15"," 7.956224","A","1/26/10","Cycling","1/28/13","Lactating","N","2014-10-01",69.5714285714286
"26","1710","C","2014-04-01","CEY","2014"," 4","Ceylon",1,"FALSE","6/1/12"," 95.571429","FALSE","2005-06-15"," 8.787962","A","1/26/10","Cycling","1/28/13","Lactating","N","2014-10-01",26.1428571428571
"27","1656","C","2013-09-01","CHU","2013"," 9","Chuxi",1,"FALSE","9/1/13","  0.000000","FALSE","2006-07-28"," 7.091655","A","3/17/13","Lactating","3/17/13","Lactating","Y",NA,NA
"28","1871","C","2016-03-01","CHU","2016"," 3","Chuxi",1,"FALSE","9/1/13","130.285714","FALSE","2006-07-28"," 9.586867","A","3/17/13","Lactating","6/13/14","Lactating","N",NA,NA
"29","1368","C","2011-03-01","COC","2011"," 3","Coco",1,"FALSE","4/1/09"," 99.857143","FALSE","2004-02-17"," 7.028728","A","9/30/08","Cycling","7/9/10","Lactating","N","2011-03-01",0
"30","1621","C","2013-05-01","COC","2013"," 5","Coco",1,"FALSE","6/1/12"," 47.714286","FALSE","2004-02-17"," 9.195622","A","4/9/11","Cycling","4/30/13","Pregnant","N","2014-10-01",74
"31","1698","C","2014-02-01","COC","2014"," 2","Coco",1,"FALSE","6/1/12"," 87.142857","FALSE","2004-02-17"," 9.950752","A","4/9/11","Cycling","10/30/13","Lactating","N","2014-10-01",34.5714285714286
"32","1745","C","2014-09-01","COC","2014"," 9","Coco",1,"FALSE","6/1/12","117.428571","FALSE","2004-02-17","10.530780","A","4/9/11","Cycling","10/30/13","Lactating","N","2014-10-01",4.28571428571429
"33","1515","C","2012-06-01","COO","2012"," 6","Coo",1,"FALSE","6/1/12","  0.000000","FALSE","2002-07-18"," 9.865937","A","4/4/11","Cycling","4/4/11","Cycling","Y",NA,NA
"34","1535","C","2012-08-01","COR","2012"," 8","Corona",1,"FALSE","6/1/12","  8.714286","FALSE","1994-09-01","17.904241","A","6/9/11","Cycling","6/9/11","Cycling","Y",NA,NA
"35","1577","C","2012-12-01","COR","2012","12","Corona",1,"FALSE","6/1/12"," 26.142857","FALSE","1994-09-01","18.238030","A","6/9/11","Cycling","6/9/11","Cycling","N",NA,NA
"36","1587","C","2013-01-01","COR","2013"," 1","Corona",1,"FALSE","6/1/12"," 30.571429","FALSE","1994-09-01","18.322845","A","6/9/11","Cycling","12/1/12","Pregnant","N",NA,NA
